ticker,company,GICS_sector,GICS_sub_industry
TTWO,Take-Two Interactive,SIG,Signet Jewelers
SIVB,SVB Financial Group,PDCO,Patterson Companies
NKTR,Nektar Therapeutics,CHK,Chesapeake Energy
IPGP,IPG Photonics,SNI,Scripps Networks Interactive
HII,Huntington Ingalls Industries,BCR,CR Bard
NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications
CDNS,Cadence Design Systems,SPLS,Staples
DWDP,DuPont,DOW,Dow Chemical Company
SBAC,SBA Communications,DD,DuPont
Q,QuintilesIMS,WFM,Whole Foods Market
BHF,Brighthouse Financial,AN,AutoNation
DRE,Duke Realty Corp,RIG,Transocean
AOS,A. O. Smith,BBBY,Bed Bath & Beyond
PKG,Packaging Corporation of America,MUR,Murphy Oil
RMD,ResMed,MNK,Mallinckrodt
MGM,MGM Resorts International,RAI,Reynolds American
BKR,Baker Hughes,BHI,Baker Hughes
HLT,Hilton,YHOO,Yahoo!
ALGN,Align Technology,TDC,Teradata
ANSS,Ansys,R,Ryder System
RE,Everest Re,MJN,Mead Johnson
INFO,IHS Markit,TGNA,Tegna
IT,Gartner,DNB,Dun & Bradstreet
DXC,DXC Technology,SWN,Southwestern Energy
AMD,Advanced Micro Devices,URBN,Urban Outfitters
RJF,Raymond James Financial,FTR,Frontier Communications
ARE,Alexandria Real Estate Equities,FSLR,First Solar
SNPS,Synopsys,HAR,Harman International
DISH,Dish Network,LLTC,Linear Technology
REG,Regency Centers,ENDP,Endo International
CBOE,Cboe Holdings,PBI,Pitney Bowes
INCY,Incyte,SE,Spectra Energy
IDXX,Idexx Laboratories,STJ,St Jude Medical
MAA,Mid-America Apartments,OI,Owens-Illinois
EVHC,Envision Healthcare,LM,Legg Mason
ARNC,Arconic,AA,Alcoa
COTY,Coty,DO,Diamond Offshore Drilling
COO,The Cooper Companies,HOT,Starwood
CHTR,Charter Communications,EMC,EMC Corporation
MTD,Mettler Toledo,TYC,Tyco International
FTV,Fortive Corp,CPGX,Columbia Pipeline Group
LNT,Alliant Energy Corp,GAS,AGL Resources
ALB,Albemarle Corporation,TE,TECO Energy
FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems
TDG,TransDigm Group,BXLT,Baxalta
AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises
LKQ,LKQ Corporation,ARG,Airgas
DLR,Digital Realty,TWC,Time Warner Cable
ALK,Alaska Air Group,SNDK,SanDisk
AYI,Acuity Brands,ADT,ADT
GPN,Global Payments,GME,GameStop
ULTA,Ulta Beauty,THC,Tenet Healthcare
UA,Under Armour (Class C),,
FL,Foot Locker,CAM,Cameron International
HOLX,Hologic,POM,Pepco Holdings
CNC,Centene Corporation,ESV,Ensco
UDR,UDR,GMCR,Keurig Green Mountain
AWK,American Water Works,CNX,Consol Energy
CXO,Concho Resources,PCL,Plum Creek Timber
CFG,Citizens,PCP,Precision Castparts Corporation
FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation
EXR,Extra Space Storage,ACE,Chubb
WLTW,Willis Towers Watson,FOSL,Fossil Group
CHD,Church & Dwight,ALTR,Altera
,,CMCSK,Comcast K Corp
CSRA,CSRA,CSC,Computer Sciences Corporation
ILMN,Illumina,SIAL,Sigma-Aldrich
SYF,Synchrony Financial,GNW,Genworth Financial
HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp
VRSK,Verisk Analytics,JOY,Joy Global
CMCSK,Comcast Class K Special,,
FOX,Twenty-First Century Fox Class B,,
NWS,News Corporation Class B,,
UAL,United Continental Holdings,HSP,Hospira
ATVI,Activision Blizzard,PLL,Pall Corporation
SIG,Signet Jewelers,DTV,DirecTV
PYPL,PayPal,NE,Noble Corporation
AAP,Advance Auto Parts,FDO,Family Dollar
KHC,Kraft Heinz,KRFT,Kraft Foods
CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies
JBHT,J.B. Hunt,TEG,Integrys Energy Group
BXLT,Baxalta,QEP,QEP Resources
QRVO,Qorvo,LO,Lorillard Tobacco Company
O,Realty Income Corporation,WIN,Windstream Communications
AAL,American Airlines Group,AGN,Allergan
EQIX,Equinix,DNR,Denbury Resources
SLG,SL Green Realty,NBR,Nabors Industries
HBI,Hanesbrands,AVP,Avon Products
HSIC,Henry Schein,CFN,Carefusion
SWKS,Skyworks,PETM,PetSmart
HCA,HCA Holdings,SWY,Safeway
ENDP,Endo International,COV,Covidien
RCL,Royal Caribbean Cruises,BMS,Bemis Company
LVLT,Level 3 Communications,JBL,Jabil Circuit
URI,United Rentals,BTU,Peabody Energy
UHS,Universal Health Services,GHC,Graham Holdings
MNK,Mallinckrodt,RDC,Rowan Companies
DISCK,Discovery Communications,,
MLM,Martin Marietta,X,United States Steel
AMG,Affiliated Managers Group,FRX,Forest Laboratories
XEC,Cimarex Energy,IGT,International Game Technology
AVGO,Avago Technologies,LSI,LSI Corporation
UA,Under Armour,BEAM,Suntory Global Spirits
NAVI,Navient,SLM,SLM Corporation
GOOGL,Google,,
ESS,Essex Property Trust,CLF,Cliffs Natural Resources
GMCR,Keurig Green Mountain,WPX,WPX Energy
TSCO,Tractor Supply,LIFE,Life Technologies
ADS,Alliance Data Systems,ANF,Abercrombie & Fitch
MHK,Mohawk Industries,JDSU,JDS Uniphase
FB,Facebook,TER,Teradyne
GGP,General Growth Properties,MOLX,Molex
ALLE,Allegion,JCP,JCPenney
KORS,Michael Kors,NYX,NYSE Euronext
RIG,Transocean,DELL,Dell
VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices
AME,Ametek,SAI,SAIC
DAL,Delta Air Lines,BMC,BMC Software
NLSN,Nielsen Holdings,S,Sprint Nextel
NWSA,21st Century Fox,APOL,Apollo Education Group
ZTS,Zoetis,FHN,First Horizon
GM,General Motors,HNZ,Heinz
KSU,Kansas City Southern,DF,Dean Foods
MAC,Macerich,CVH,Coventry Health Care
REGN,Regeneron Pharmaceuticals,PCS,MetroPCS
PVH,PVH,BIG,Big Lots
ABBV,AbbVie,FII,Federated Investors
DLPH,Delphi Automotive,TIE,Titanium Metals
GRMN,Garmin,RRD,RR Donnelley
DG,Dollar General,CBE,Cooper Industries
PETM,PetSmart,SUN,Sunoco
KRFT,Kraft Foods,ANR,Alpha Natural Resources
